,Site,slope,drainage,ARIser,CARser,COPlin,COPluc,COPmic,COPpro,COPrha,COPtay,COPvio,CYAjun,DACdac,ELAhoo,FUCexc,GRIlit,MELsim,MYRaus,MYRdiv,NEOped,NOTsol,PITten,PSEarb,PSEcole,PSEcra,PSEcolo,RUBcis,CLEpan,CORaus,PARhet,PRUlau
k11,Kowai,25,2,0,5,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,100,15,37,0,0,26,0,0,0,0,0
k21,Kowai,24,3,16,0,11,24,0,2,0,1,0,0,0,0,0,0,0,0,0,0,100,0,62,2,2,21,0,0,0,0,0
k22,Kowai,35,3,0,0,12,1,0,10,0,28,0,0,0,0,0,22,0,0,0,0,90,0,43,0,0,7,0,0,0,0,0
k31,Kowai,27,2,0,0,2,12,2,0,0,2,0,0,0,0,0,0,0,0,3,1,40,0,4,1,0,1,0,0,0,0,0
k32,Kowai,23,2,0,0,0,9,2,8,0,16,0,0,0,0,0,12,0,0,6,9,93,0,10,1,0,5,0,0,0,0,0
k41,Kowai,27,2,0,0,2,4,4,1,7,0,0,0,0,0,0,1,0,0,0,0,100,0,10,1,0,0,0,0,0,0,0
k44,Kowai,18,2,0,0,2,0,5,0,3,14,0,0,0,0,0,6,0,0,1,0,50,0,17,1,1,0,0,0,0,0,0
k51,Kowai,38,3,0,0,6,5,0,0,21,3,0,0,0,0,0,8,0,0,0,0,90,41,15,0,0,0,0,0,0,1,0
k61,Kowai,20,3,0,0,0,35,4,0,0,11,0,0,0,0,0,1,0,0,0,0,35,0,32,0,0,1,0,0,0,0,0
k62,Kowai,23,3,0,0,0,52,0,1,0,3,0,0,0,0,0,0,0,0,0,0,88,2,10,0,0,1,0,0,0,0,0
k71,Kowai,5,2,2,1,0,6,1,0,0,12,0,0,0,1,0,0,0,0,0,0,79,10,1,9,0,0,0,0,0,0,0
k72,Kowai,25,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,23,8,0,0,0,0,0,0,0
k91,Kowai,25,2,0,0,1,9,0,1,22,3,0,0,0,0,0,20,0,0,0,0,98,0,59,21,0,7,0,0,0,0,0
k92,Kowai,30,1,0,0,0,0,3,0,11,1,0,0,0,0,0,0,1,0,0,0,83,0,72,26,0,2,0,0,0,0,0
l11,Lords,0,1,0,0,0,0,0,0,6,0,0,0,11,40,0,18,0,0,0,30,51,0,0,0,2,8,0,0,0,0,0
l12,Lords,0,1,0,0,0,0,0,5,13,5,0,0,61,49,0,8,0,0,0,13,0,0,0,0,2,30,0,0,0,0,0
l21,Lords,1,1,11,0,0,0,0,0,4,2,0,0,0,0,0,10,0,0,0,36,90,0,2,0,4,8,0,0,0,0,0
l22,Lords,1,1,0,0,0,0,0,0,6,0,0,0,0,10,0,8,0,0,1,0,80,0,5,0,2,3,0,0,0,0,0
l31,Lords,2,3,0,2,0,0,0,0,11,7,0,0,9,0,0,1,0,0,2,18,95,0,0,0,0,18,0,0,0,0,0
l32,Lords,1,3,0,13,0,0,0,0,0,0,0,0,4,20,0,9,0,0,0,6,100,0,0,0,0,2,0,0,0,1,0
l41,Lords,1,2,0,0,0,0,0,0,7,5,0,0,54,50,0,0,0,0,1,9,100,4,0,0,3,25,0,0,0,0,0
l42,Lords,2,2,0,0,3,0,0,0,0,0,0,0,82,0,0,10,0,0,0,44,25,0,0,0,8,18,0,0,0,0,0
l51,Lords,4,2,0,14,0,0,0,0,8,0,0,0,47,55,0,13,0,0,0,35,58,0,0,0,0,1,0,0,0,0,0
l52,Lords,5,1,0,0,0,0,0,0,6,0,0,0,67,38,0,2,0,0,0,45,28,0,0,0,0,18,0,0,0,0,0
l61,Lords,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,4,0,0,0,0,0,0
l62,Lords,5,3,0,0,0,0,0,0,0,6,0,0,6,1,0,2,0,0,0,5,100,0,0,0,5,1,1,0,0,0,0
l71,Lords,5,2,0,0,0,0,0,0,0,0,0,0,27,75,0,0,0,0,0,36,0,1,0,0,0,10,0,0,0,0,0
l72,Lords,3,1,0,0,0,6,0,20,0,18,0,0,10,30,0,11,0,0,0,12,0,9,0,0,0,12,0,0,0,0,0
l81,Lords,18,3,0,0,0,6,0,0,0,3,0,0,15,5,0,0,0,0,0,4,85,0,0,0,1,1,0,0,0,0,0
k81,Kowai,2,2,1,1,12,55,3,0,0,15,0,0,0,0,0,0,3,0,0,0,92,19,47,0,0,0,0,0,0,0,0
l82,Lords,25,2,0,1,0,0,0,0,6,1,0,0,0,0,0,0,3,0,0,9,85,1,0,0,0,17,0,0,0,0,0
k82,Kowai,2,2,0,0,0,16,0,0,0,24,0,0,0,0,0,1,0,0,0,0,100,18,14,1,0,0,0,0,0,0,0
l91,Lords,5,2,1,6,0,0,0,0,14,1,0,0,19,1,0,2,0,0,0,7,85,0,0,0,0,0,0,0,0,0,0
l92,Lords,2,2,0,0,0,0,0,0,7,4,0,0,0,11,0,15,0,0,0,2,90,0,0,0,0,10,5,0,0,0,0
